product_id,category,front_path,back_path,top_path
B0009BOEH0,furniture,../datasets\product_40\front.jpg,../datasets\product_40\back.jpg,../datasets\product_40\top.jpg
B0009JRWR6,furniture,../datasets\product_43\front.jpg,../datasets\product_43\back.jpg,../datasets\product_43\top.jpg
B000BIU1XM,furniture,../datasets\product_50\front.jpg,../datasets\product_50\back.jpg,../datasets\product_50\top.jpg
B000BIU20E,furniture,../datasets\product_52\front.jpg,../datasets\product_52\back.jpg,../datasets\product_52\top.jpg
B000BIVK3C,furniture,../datasets\product_57\front.jpg,../datasets\product_57\back.jpg,../datasets\product_57\top.jpg
B000BIXAO4,furniture,../datasets\product_62\front.jpg,../datasets\product_62\back.jpg,../datasets\product_62\top.jpg
B000BIXAQM,furniture,../datasets\product_68\front.jpg,../datasets\product_68\back.jpg,../datasets\product_68\top.jpg
B000BIXAQW,furniture,../datasets\product_69\front.jpg,../datasets\product_69\back.jpg,../datasets\product_69\top.jpg
B000BIXAR6,furniture,../datasets\product_70\front.jpg,../datasets\product_70\back.jpg,../datasets\product_70\top.jpg
B000BJKCLM,furniture,../datasets\product_75\front.jpg,../datasets\product_75\back.jpg,../datasets\product_75\top.jpg
B000E4BE0C,furniture,../datasets\product_95\front.jpg,../datasets\product_95\back.jpg,../datasets\product_95\top.jpg
B000E4CWI0,furniture,../datasets\product_96\front.jpg,../datasets\product_96\back.jpg,../datasets\product_96\top.jpg
B000E4HY42,furniture,../datasets\product_98\front.jpg,../datasets\product_98\back.jpg,../datasets\product_98\top.jpg
B000E4K2SM,furniture,../datasets\product_100\front.jpg,../datasets\product_100\back.jpg,../datasets\product_100\top.jpg
B000FGI5DI,furniture,../datasets\product_114\front.jpg,../datasets\product_114\back.jpg,../datasets\product_114\top.jpg
B000FVW57K,furniture,../datasets\product_131\front.jpg,../datasets\product_131\back.jpg,../datasets\product_131\top.jpg
B000FVW57U,furniture,,,
B000H7EAT8,furniture,../datasets\product_169\front.jpg,../datasets\product_169\back.jpg,../datasets\product_169\top.jpg
B000H7JXUY,furniture,../datasets\product_175\front.jpg,../datasets\product_175\back.jpg,../datasets\product_175\top.jpg
B000HBXA5O,furniture,../datasets\product_186\front.jpg,../datasets\product_186\back.jpg,../datasets\product_186\top.jpg
B000HBXD10,office,../datasets\product_191\front.jpg,../datasets\product_191\back.jpg,../datasets\product_191\top.jpg
B000HBYKWG,office,../datasets\product_198\front.jpg,../datasets\product_198\back.jpg,../datasets\product_198\top.jpg
B000HBYM0Q,office,../datasets\product_202\front.jpg,../datasets\product_202\back.jpg,../datasets\product_202\top.jpg
B000HDMU9E,office,../datasets\product_217\front.jpg,../datasets\product_217\back.jpg,../datasets\product_217\top.jpg
B000IL7OFA,other,../datasets\product_238\front.jpg,../datasets\product_238\back.jpg,../datasets\product_238\top.jpg
B000MCFMP4,other,../datasets\product_279\front.jpg,../datasets\product_279\back.jpg,../datasets\product_279\top.jpg
B000MCFMPO,other,../datasets\product_280\front.jpg,../datasets\product_280\back.jpg,../datasets\product_280\top.jpg
B000MCJIA4,other,../datasets\product_283\front.jpg,../datasets\product_283\back.jpg,../datasets\product_283\top.jpg
B000MFGRB4,other,../datasets\product_316\front.jpg,../datasets\product_316\back.jpg,../datasets\product_316\top.jpg
B000MFGRDM,other,../datasets\product_319\front.jpg,../datasets\product_319\back.jpg,../datasets\product_319\top.jpg
B000NDLO1I,other,../datasets\product_340\front.jpg,../datasets\product_340\back.jpg,../datasets\product_340\top.jpg
B000NDMO3K,other,../datasets\product_346\front.jpg,../datasets\product_346\back.jpg,../datasets\product_346\top.jpg
B000W78Q2U,other,../datasets\product_559\front.jpg,../datasets\product_559\back.jpg,../datasets\product_559\top.jpg
B000W7AIM6,furniture,../datasets\product_561\front.jpg,../datasets\product_561\back.jpg,../datasets\product_561\top.jpg
B000W7C7PC,furniture,../datasets\product_562\front.jpg,../datasets\product_562\back.jpg,../datasets\product_562\top.jpg
B000W7C89M,furniture,../datasets\product_563\front.jpg,../datasets\product_563\back.jpg,../datasets\product_563\top.jpg
B000W9UXVU,furniture,../datasets\product_600\front.jpg,../datasets\product_600\back.jpg,../datasets\product_600\top.jpg
B000W9X1QY,furniture,../datasets\product_601\front.jpg,../datasets\product_601\back.jpg,../datasets\product_601\top.jpg
B000W9X22W,other,../datasets\product_602\front.jpg,../datasets\product_602\back.jpg,../datasets\product_602\top.jpg
B000W9Z1V2,other,../datasets\product_606\front.jpg,../datasets\product_606\back.jpg,../datasets\product_606\top.jpg
B000XKCZZA,other,../datasets\product_658\front.jpg,../datasets\product_658\back.jpg,../datasets\product_658\top.jpg
B000XPL1YQ,other,../datasets\product_667\front.jpg,../datasets\product_667\back.jpg,../datasets\product_667\top.jpg
B000XPOQSE,other,../datasets\product_670\front.jpg,../datasets\product_670\back.jpg,../datasets\product_670\top.jpg
B0011MXVLQ,other,../datasets\product_737\front.jpg,../datasets\product_737\back.jpg,../datasets\product_737\top.jpg
B0011N17NO,other,../datasets\product_746\front.jpg,../datasets\product_746\back.jpg,../datasets\product_746\top.jpg
B001CZJ89Q,other,../datasets\product_872\front.jpg,../datasets\product_872\back.jpg,../datasets\product_872\top.jpg
B001NEIPVS,furniture,../datasets\product_946\front.jpg,,
B001UHOWGA,furniture,../datasets\product_967\front.jpg,../datasets\product_967\back.jpg,../datasets\product_967\top.jpg
B001UHOWS8,furniture,../datasets\product_968\front.jpg,../datasets\product_968\back.jpg,../datasets\product_968\top.jpg
B001ULD96K,other,../datasets\product_972\front.jpg,../datasets\product_972\back.jpg,../datasets\product_972\top.jpg
